	parent	epoch_jd	reference_plane_type	orbit_right_ascension	orbit_declination	eccentricity	inclination	longitude_ascending_node	argument_periapsis	semi_major_axis	semi_parameter	mean_anomaly_at_epoch	time_periapsis	mean_motion	orbit_gravitational_parameter	longitude_ascending_node_rate	argument_periapsis_rate	#nodal_period	#apsidal_period	real_planet_orbit	semi_major_axis_rate	eccentricity_rate	inclination_rate	mean_anomaly_correction_b	mean_anomaly_correction_c	mean_anomaly_correction_s	mean_anomaly_correction_f	validity_begin	validity_end	segment_begin	segment_end	fix_gaps
Type	STRING_NAME	FLOAT	IVOrbit.ReferencePlane	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	BOOL	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	BOOL
Default		2451545.0	ECLIPTIC													0	0			FALSE				0	0	0	0			-INF	INF	FALSE
Unit				deg	deg		deg	deg	deg	km	km	deg		deg/d	km^3/s^2	deg/Cy	deg/Cy	a	a		au/Cy	1/Cy	deg/Cy	deg/Cy^2	deg	deg	deg/Cy			s	s	
Prefix/ORBIT_			REFERENCE_PLANE_																													
MOON_STYX	PLANET_PLUTO		EQUATORIAL			0.0006	0.08	26.956	330.244	42393		194.546		17.8551357		-6.97317651434	0	5162.64	3710.58													
MOON_NIX	PLANET_PLUTO		EQUATORIAL			0	0	203.4	324.463	48671		284.405		14.4841304		0	0	0	0													
MOON_KERBEROS	PLANET_PLUTO		EQUATORIAL			0	0.426	305.871	160.629	57729		161.061		11.1913026		-3883.49514563	0	9.27	0													
MOON_HYDRA	PLANET_PLUTO		EQUATORIAL			0.0056	0.304	113.173	153.307	64698		326.678		9.4235386		-2508.71080139	5006.95410292	14.35	7.19													
ASTEROID_101955_BENNU	STAR_SUN	2455562.5				0.20375	6.035	2.061	66.223	168507041.556		101.704		0.824461350																		
ASTEROID_25143_ITOKAWA	STAR_SUN	2459800.5				0.28011	1.621	69.076	162.789	198082540.594		345.132		0.64684450																		
ASTEROID_433_EROS	STAR_SUN	2459800.5				0.22273	10.828	304.291	178.933	218143615.055		358.821		0.5597582808																		
ASTEROID_4_VESTA	STAR_SUN	2459800.5				0.088402	7.141	103.801	151.258	353350170.593		61.192		0.271511209																		
ASTEROID_486958_ARROKOTH	STAR_SUN	2459800.5				0.052391	2.444	159.202	186.731	6657853235.5		309.679		0.0033196																		
SPACECRAFT_INTERNATIONAL_SPACE_STATION	PLANET_EARTH	2459889.5	EQUATORIAL			0.0015164	51.609	353.726	69.013	6788.3		187.104		5.5881e3																-35184000		
SPACECRAFT_HUBBLE_SPACE_TELESCOPE	PLANET_EARTH	2459889.5	EQUATORIAL			0.0016184	28.374	310.402	117.409	6914.9		20.487		5.4353e3																-305767569		
SEG_PIONEER_10_DEPARTURE	PLANET_EARTH					2.37774862249	9.03673326106	330.380513262	165.385421656		22062.9638908		-878291890.084																	-878291890.084	-878126400	
SEG_PIONEER_10_CRUISE_1	STAR_SUN					0.71107100005	2.08473848931	342.930555954	177.281475696		253578474.814		-878465873.409																	-878126400	-824299200	x
SEG_PIONEER_10_JUPITER	PLANET_JUPITER					1.11649913121	14.3140771518	266.577840546	344.488608202		430430.183125		-822908028.469																	-824299200	-821707200	
SEG_PIONEER_10_CRUISE_2	STAR_SUN					1.72779319155	3.14652926805	331.644834038	346.985467861		2054384654.18		-822897087.672																	-821707200	3155716800	x
SEG_VOYAGER_2_DEPARTURE	PLANET_EARTH					2.72429296286	23.228195169	307.993975175	13.8758955345		24954.1727129		-705789118.966																	-705789118.966	-705672000	
SEG_VOYAGER_2_CRUISE_1	STAR_SUN					0.724177281951	4.83172256055	327.77549105	11.711551302		258654219.983		-704994782.055																	-705672000	-647697600	x
SEG_VOYAGER_2_JUPITER	PLANET_JUPITER					1.33419277281	6.97392487432	148.142233312	263.906931993		1687394.47293		-646320714.651																	-647697600	-645105600	
SEG_VOYAGER_2_CRUISE_2	STAR_SUN					1.29104654355	2.5517724772	119.377185191	351.383568404		1725966098.55		-664902220.671																	-645105600	-580478400	x
SEG_VOYAGER_2_SATURN	PLANET_SATURN					1.482740361	3.90486670685	60.9177251939	88.3101733373		399087.663107		-579083701.073																	-580478400	-577886400	
SEG_VOYAGER_2_CRUISE_3	STAR_SUN					3.44881846891	2.6629382291	77.5101360385	112.400939114		6392508881.6		-581445184.862																	-577886400	-441115200	x
SEG_VOYAGER_2_URANUS	PLANET_URANUS					5.01410383467	11.2659564564	279.80395645	273.575014059		644454.99412		-439754413.31																	-441115200	-438523200	
SEG_VOYAGER_2_CRUISE_4	STAR_SUN					5.80493908635	2.49631851547	260.474781961	313.733320722		14656716035.2		-539748315.725																	-438523200	-328017600	x
SEG_VOYAGER_2_NEPTUNE	PLANET_NEPTUNE					2.19944952534	115.953965187	115.188382603	114.023556943		93555.9757381		-326707403.213																	-328017600	-325425600	
SEG_VOYAGER_2_CRUISE_5	STAR_SUN					6.28894126666	78.6981746943	101.608434323	130.069016757		23162928470.9		-526142142.655																	-325425600	3155716800	x
SEG_VOYAGER_1_DEPARTURE	PLANET_EARTH					2.79413570254	4.95151243055	14.9214127134	303.602860229		25778.2084789		-704412292.518																	-704412292.518	-704289600	
SEG_VOYAGER_1_CRUISE_1	STAR_SUN					0.797847118425	1.03661634412	343.096829025	359.262187834		271082955.357		-704462018.066																	-704289600	-658411200	x
SEG_VOYAGER_1_JUPITER	PLANET_JUPITER					1.31868641932	3.97536034551	120.083208153	298.007140533		807958.123889		-657244472.837																	-658411200	-655992000	
SEG_VOYAGER_1_CRUISE_2	STAR_SUN					2.25431669747	2.46744923918	113.400574507	358.73776488		2516682794.67		-666352674.024																	-655992000	-605188800	x
SEG_VOYAGER_1_SATURN	PLANET_SATURN					2.16257599149	64.344334248	193.079954451	300.228535844		606092.933401		-603807265.915																	-605188800	-602596800	
SEG_VOYAGER_1_CRUISE_3	STAR_SUN					3.72088078014	35.7702878637	178.957439887	338.252737458		6180639071.77		-632236629.938																	-602596800	3155716800	x
SEG_NEW_HORIZONS_DEPARTURE	PLANET_EARTH					3.67337535311	48.4658692952	207.790740671	258.109567896		31569.128438		190971533.373																	190971533.373	191073600	
SEG_NEW_HORIZONS_CRUISE_1	STAR_SUN					1.03217832368	0.870507188501	119.956744867	359.689296682		299180404.875		190980297.193																	191073600	224596800	x
SEG_NEW_HORIZONS_JUPITER	PLANET_JUPITER					7.19037456731	6.89977552555	221.959643395	287.99343738		18874682.2621		225913490.572																	224596800	227188800	
SEG_NEW_HORIZONS_CRUISE_2	STAR_SUN					1.39937279747	2.35043305212	229.678920747	287.802957728		811689743.613		192354808.822																	227188800	489931200	x
SEG_NEW_HORIZONS_PLUTO	PLANET_PLUTO					2985.66466065	151.749735195	287.599287883	289.076172563		40846243.4441		490146577.118																	489931200	490276800	
SEG_NEW_HORIZONS_CRUISE_3	STAR_SUN					1.42151306056	2.22958657614	224.992643285	293.594714689		858962872.51		192204755.004																	490276800	3155716800	x
SEG_JUNO_DEPARTURE	PLANET_EARTH					1.51782100493	9.26159911826	61.904081408	226.31441496		16719.9025725		365836333.511																	365836333.511	365947200	
SEG_JUNO_CRUISE_1A	STAR_SUN					0.383965735428	0.0663302151423	133.035963126	190.736911957		208933522.231		366667332.267																	365947200	399902400	x
SEG_JUNO_CRUISE_1B	STAR_SUN					0.440073889612	0.014795084314	36.4065831469	288.140329098		189879940.447		431197379.323																	399902400	434532085	x
SEG_JUNO_EARTH	PLANET_EARTH					2.87701509812	26.4937891979	37.6469953081	290.492643769		26877.365695		434618552.039																	434532085	434704885	
SEG_JUNO_CRUISE_2	STAR_SUN					0.695692279117	4.53549578012	16.2113687265	343.42637031		247989403.234		433551986.082																	434704885	519652800	x
SEG_JUNO_JUPITER_CAPTURE	PLANET_JUPITER					0.981540144561	90.671361981	269.246840215	174.683131625		149424.751588		520958812.22																	520957800	676296000	
SEG_JUNO_JUPITER_43D	PLANET_JUPITER					0.979582378703	99.9827907871	280.065062008	146.338746443		144908.35937		695255768.088																	676296000	717681600	
SEG_JUNO_JUPITER_38D	PLANET_JUPITER					0.977725251305	97.7409594068	285.702460632	135.300108256		143535.126897		737493588.006																	717681600	760190400	
SEG_JUNO_JUPITER_33D	PLANET_JUPITER					0.975682185094	99.5910948555	287.595140079	123.595986575		141984.690785		777236103.283																	760190400	3155716800	
SEG_JUNO_JUPITER_APPROACH	PLANET_JUPITER					1.0172101763	90.6223086079	269.255544219	175.607374282		152248.10734		520958917.456																	519652800	520957800	
